aX,aY,aZ,tmp,gX,gY,gZ
-2536,100,15368,21.99,158,-234,-434
-2616,144,15452,21.99,172,-209,-498
-2508,52,15548,21.89,186,-214,-496
-2672,-28,15368,21.99,169,-227,-452
-2556,96,15380,21.99,140,-228,-520
-2592,128,15496,22.04,157,-243,-417
-2528,28,15444,21.89,177,-213,-454
-2552,52,15408,21.89,162,-209,-457
-2636,136,15412,21.99,167,-186,-507
-2488,32,15364,21.89,171,-204,-445
-2504,40,15388,22.08,163,-215,-466
-2552,156,15272,21.89,159,-233,-475
-2580,72,15232,22.04,161,-201,-469
-2500,96,15224,21.94,170,-197,-456
-2472,128,15240,21.89,211,-212,-485
-2612,120,15484,22.08,179,-240,-513
-2612,40,15428,21.94,184,-187,-464
-2520,40,15400,21.99,172,-227,-482
-2628,84,15460,21.94,173,-214,-486
-2616,20,15456,21.94,192,-217,-506
-2572,172,15260,21.94,167,-223,-449
-2576,176,15388,21.89,170,-204,-553
-2584,60,15360,21.94,174,-223,-498
-2532,-4,15376,22.04,185,-226,-450
-2480,36,15432,21.94,203,-205,-482
-2452,4,15348,21.99,158,-197,-494
-2608,48,15508,21.89,149,-215,-460
-2488,108,15376,22.04,192,-208,-466
-2528,76,15356,21.99,147,-202,-513
-2500,76,15340,21.99,144,-223,-497
-2536,152,15412,22.04,194,-210,-474
-2532,64,15448,21.94,179,-213,-465
-2672,52,15344,21.85,195,-200,-492
-2588,196,15452,21.89,176,-214,-480
-2440,60,15344,21.99,150,-211,-453
-2476,136,15396,21.89,186,-242,-468
-2508,64,15440,21.94,153,-223,-486
-2488,72,15428,21.89,195,-197,-453
-2516,84,15332,21.94,195,-198,-478
-2596,72,15456,21.94,163,-201,-493
-2452,112,15296,21.94,173,-199,-480
-2600,128,15456,21.89,179,-223,-478
-2544,176,15412,21.94,169,-220,-487
-2508,72,15272,21.85,184,-212,-491
-2508,52,15376,21.80,180,-215,-473
-2488,4,15376,21.94,183,-217,-477
-2568,-44,15380,21.94,155,-216,-485
-2520,144,15356,21.89,181,-219,-448
-2580,64,15344,21.89,174,-197,-457
-2616,112,15296,21.89,166,-215,-492
-2556,156,15260,21.89,184,-207,-463
-2436,100,15336,21.89,166,-224,-475
-2596,-16,15404,21.89,185,-195,-470
-2564,52,15256,21.85,181,-188,-496
-2468,92,15484,21.99,161,-219,-501
-2456,52,15272,21.89,175,-228,-470
-2520,-60,15520,21.89,191,-215,-481
-2512,104,15248,21.94,174,-224,-479
-2496,24,15372,21.94,160,-224,-454
-2484,68,15556,21.94,170,-221,-483
-2520,16,15264,22.04,160,-204,-493
-2568,16,15320,21.89,140,-245,-476
-2488,72,15440,22.04,157,-238,-474
-2572,128,15272,21.99,188,-218,-511
-2572,148,15428,21.94,177,-198,-458
-2588,120,15256,21.99,138,-217,-458
-2592,100,15340,21.89,196,-231,-482
-2452,16,15216,21.85,185,-220,-505
-2524,96,15356,22.08,174,-201,-451
-2512,148,15388,22.04,194,-230,-467
-2528,48,15400,21.99,166,-194,-507
-2624,132,15452,21.94,160,-237,-463
-2508,112,15340,22.04,181,-231,-458
-2516,128,15360,21.89,166,-234,-500
-2648,-32,15328,21.99,182,-229,-477
-2540,24,15276,21.99,161,-241,-486
-2456,144,15448,21.94,196,-225,-460
-2508,52,15432,21.94,190,-214,-509
-2436,196,15380,21.99,199,-217,-477
-2504,140,15464,21.99,181,-227,-453
-2380,36,15244,21.85,184,-190,-476
-2452,12,15308,21.99,161,-206,-488
-2520,32,15476,21.99,172,-203,-474
-2500,32,15448,21.94,157,-214,-471
-2676,60,15412,21.94,156,-225,-512
